dam,capcity,year_completed_original,year_completed,age,river,province,locale,longitude,latitude,wall_height,surface
Lakenvallei Dam,"10,300
[N][10]",1974,1974,43,Sanddrifskloof River,Western Cape,Ceres,32.0836111111111,-28.7669444444444,56,0.825
Leeu-Gamka Dam,42211,1958,1958,59,Leeuw River,Western Cape,Beaufort West,19.5669444444444,-33.3669444444444,21,4.258
Lindleyspoort Dam,14381,1943,1943,74,Elands River,North West,Swartruggens,22.9833333333333,-32.6216666666667,39,1.801
Lonehill Dam,,~1960,1960,57,Lonehill Spruit,Gauteng,Sandton,26.6922222222222,-25.4972222222222,,
Loskop Dam,"361,500
[N][11]",1939,1939,78,Olifants River,Mpumalanga,Groblersdal,29.3502777777778,-25.4169444444444,54,24.277
Lubisi Dam,"158,000
[N][7]",1968,1968,49,Indwe River,Eastern Cape,Qamata,29.3502777777778,-25.4169444444444,52,11.29
Luphephe Dam,"14,000
",1963,1963,54,Luphephe River,Limpopo,Musina,27.4166666666667,-31.7958333333333,42,1.416
Madikwe Dam,14000,1976,1976,41,Thulane River,North West,Madikwe,30.4083333333333,-22.6333333333333,17,4.318
Makuleke Dam,13000,1990,1990,27,Mphongolo River,Limpopo,Giyani,26.5975,-25.3933333333333,22,0.75
Marico-Bosveld Dam,27813,1933,1933,84,Groot Marico River,North West,Groot Marico,30.905,-22.8675,34,4.376
Metz Dam,385000,,,,Mortladime River,Limpopo,Trichardsdal,26.3972222222222,-25.4708333333333,18,
Middelburg Dam,48435,1978,1978,39,Klein Olifants River,Mpumalanga,Middelburg,29.55,-25.7669444444444,36,4.68
Middle Letaba Dam,"171,900[18]",1984,1984,33,Middle Letaba River,Limpopo,Giyani,29.55,-25.7669444444444,34,18.787
Misverstand Dam,"6,400
[N][10]",1977,1977,40,Berg River,Western Cape,Porterville,30.2002777777778,-29.4952777777778,26,2.552
Modderpoort Dam,10000,1953,1953,64,Rietfontein River,Northern Cape,Beaufort West,18.7933333333333,-33.0288888888889,15,0.125
Mohale Dam,,2002,2002,15,Senqunyane River,Lesotho,,22.1336111111111,-31.9472222222222,144,
Mokolo Dam (Hans Strijdom Dam),"145,400
",1980,1980,37,Mokolo River,Limpopo,Lephalale,28.0958333333333,-29.4566666666667,57,8.288
Molatedi Dam,"200,800
[N][14]",1986,1986,31,Marico River,North West,Zeerust,27.7169444444444,-23.975,23,35.67
Molteno Dam,"200
[N]",1881,1881,136,Table Mountain rivers,Western Cape,Cape Town,26.4502777777778,-24.8702777777778,15,
Morgenstond Dam,100773,1978,1978,39,Ngwempisi River,Mpumalanga,Amsterdam,18.4119444444444,-33.9383333333333,43,9.772
Mthatha Dam,253674,1977,1977,40,Mthatha River,Eastern Cape,Mthatha,30.3694444444444,-26.7658333333333,18,25.417
Mutshedzi Dam,"2,300
",1990,1990,27,Mutshedzi River,Limpopo,Thohoyandou,28.74,-31.5505555555556,25,0.392
Nagle Dam,"23,200
",1950,1950,67,Umgeni River,KZN,Cato Ridge,30.1611111111111,-22.9486111111111,46,1.561
Nahoon Dam,19934,1966,1966,51,Nahoon River,Eastern Cape,East London,30.6169444444444,-29.5836111111111,44,2.347
Nandoni Dam,"166,100
",2004,2004,13,Levuvhu River,Limpopo,Thohoyandou,27.8152777777778,-32.91,47,15.7
Ncora Dam,"150,100
[N][7]",1975,1975,42,Tsomo River,Eastern Cape,Tsomo,30.6075,-22.9888888888889,44,13.92
Ngodwana Dam,10400,1984,1984,33,Ngodwana River,Mpumalanga,Nelspruit,27.6669444444444,-31.7875,47,8.66
Ngotwane Dam,18800,1982,1982,35,Ngotwane River,North West,Lobathleng,30.6680555555556,-25.5836111111111,19,3.9
Nooitgedacht Dam,"78,400
[N][11]",1962,1962,55,Komati River,Mpumalanga,Carolina,25.8002777777778,-25.1977777777778,42,4.63
Nqweba Dam (Previously Vanryneveld's Pass Dam),46369,1925,1925,92,Sundays River,Eastern Cape,Graaff-Reinet,30.0836111111111,-25.9502777777778,42,10.285
Nwanedi Dam,"5,100
",1964,1964,53,Nwanedi River,Limpopo,Musina,24.5177777777778,-32.2355555555556,36,
Ntshingwayo Dam,"194,600
",1961,1961,56,Nsama River,KZN,Newcastle,30.4083333333333,-22.6433333333333,28,34.412
Nzhelele Dam,"51,200
",1948,1948,69,Nzhelele River,Limpopo,Musina,30.0847222222222,-22.725,47,5.442
Ohrigstad Dam,"13,400[19]
[N][11]",1955,1955,62,Ohrigstad River[19],Mpumalanga,Ohrigstad,30.0847222222222,-22.725,52,
Olifantsnek Dam,14200,1928,1928,89,Hex River,North West,Rustenburg,30.6188888888889,-24.9169444444444,31,2.548
Oudebaaskraal Dam,34000,1969,1969,48,Tankwa River,Western Cape,Ceres,27.2644444444444,-25.7841666666667,21,8
Oxkraal Dam,[N][7],1989,1989,28,Oxkraal River,Eastern Cape,Queenstown,19.9013888888889,-32.3836111111111,,
Phiphidi Dam,187355,1971,1971,46,Mutshindudi River,Limpopo,Thohoyandou,26.7533333333333,-32.2119444444444,16,
Pongolapoort Dam,"2,267,100
",1973,1973,44,Pongola River,KZN,Jozini,32.075,-27.4208333333333,89,132.728
Poortjieskloof Dam,"9,700
[N][10]",1955,1955,62,Groot River,Western Cape,Montagu,32.075,-27.4208333333333,38,1.029
Potchefstroom Dam,,1950,1950,67,Mooi River,North West,Potchefstroom,27.0972222222222,-26.67,,
Qedusizi Dam,133295,1998,1998,19,Klip River,KZN,Ladysmith,27.0972222222222,-26.67,32,19.594
